"","type","date(yyyyMMddHHmmss)","author","message","latitude","longitude","location","timestamp","id","cleaned","RT_pattern","RT_from","RT_message","RT_message_cleaned","user_mentioned","time_1min"
"1","mbdata",20140123170000,"POK","Follow us @POK-Kronos",NA,NA,NA,2014-01-23 17:00:00,1,"follow us","","","Follow us @POK-Kronos","","@POK-Kronos","2014-01-23 17:00:00"
"2","mbdata",20140123170000,"maha_Homeland","Don't miss a moment!  Follow our live coverage of the POK Rally in the Park!",NA,NA,NA,2014-01-23 17:00:00,2,"miss moment follow live coverage pok rally park","","","Don't miss a moment!  Follow our live coverage of the POK Rally in the Park!","","","2014-01-23 17:00:00"
"3","mbdata",20140123170000,"Viktor-E","Come join us in the Park! Music tonight at Abila City Park!",NA,NA,NA,2014-01-23 17:00:00,3,"come join us park music tonight abila city park","","","Come join us in the Park! Music tonight at Abila City Park!","","","2014-01-23 17:00:00"
"4","mbdata",20140123170000,"KronosStar","POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech. #KronosStar",NA,NA,NA,2014-01-23 17:00:00,4,"pok rally start abila city park pok leader sylvia marek open speech","","","POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech. #KronosStar","","","2014-01-23 17:00:00"
"5","mbdata",20140123170000,"AbilaPost","POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost",NA,NA,NA,2014-01-23 17:00:00,5,"pok rally set take place abila city park pok leader sylvia marek begin open remark","","","POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost","","","2014-01-23 17:00:00"
"6","mbdata",20140123170000,"ourcountryourrights","POK rally in the park tonight! #POKrally",NA,NA,NA,2014-01-23 17:00:00,6,"pok rally park tonight","","","POK rally in the park tonight! #POKrally","","","2014-01-23 17:00:00"
"7","mbdata",20140123170000,"ReggieWassali","great day for a rally! #RememberJuliana #RememberElian #POK",NA,NA,NA,2014-01-23 17:00:00,7,"great day rally","","","great day for a rally! #RememberJuliana #RememberElian #POK","","","2014-01-23 17:00:00"
"8","mbdata",20140123170000,"MindOfKronos","Ugh, these POKers are anooying! #POK #gowaway",NA,NA,NA,2014-01-23 17:00:00,8,"ugh poker anooying","","","Ugh, these POKers are anooying! #POK #gowaway","","","2014-01-23 17:00:00"
"9","mbdata",20140123170000,"FriendsOfKronos","massive rally of POK terrorists - cops are gathered waiting for arrests",NA,NA,NA,2014-01-23 17:00:00,9,"massive rally pok terrorist cop gather wait arrest","","","massive rally of POK terrorists - cops are gathered waiting for arrests","","","2014-01-23 17:00:00"
"10","ccdata",20140123170000,NA,"KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK",NA,NA,"Egeou St / Parla St",2014-01-23 17:00:00,10,"keep peacecrowd controlabila city park","","","KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK","","","2014-01-23 17:00:00"
